Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Route Type,Road Name,Cross-Street Type,Cross-Street Name,Off-Road Description,Municipality,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,Person ID,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Drivers License State,Vehicle ID,Vehicle Damage Extent,Vehicle Body Type,Vehicle Movement,Latitude,Longitude,Location
MCP1202000P,15043028,MONTGOMERY,Property Damage Crash,08/27/2015 02:27:00 PM,Maryland (State),RIVER RD,County,NEWPORT AVE,,N/A,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,N/A,NONE DETECTED,,9CB8CF1E-1504-474F-96B9-408737A499F7,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,VA,4B1FE76D-BAF9-4827-A594-4D0A16825F1B,DISABLING,PASSENGER CAR,SKIDDING,38.958955,-77.094765,"(38.958955, -77.094765)"
MCP9442000K,16050602,Montgomery County Police,Property Damage Crash,10/02/2016 01:16:00 PM,County,LOST KNIFE RD,County,CONTOUR RD,,N/A,,STRAIGHT MOVEMENT ANGLE,CLOUDY,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,D16D4252-FAB5-4455-97A9-EF4B3CE84A63,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,CB86E892-5700-49E2-8623-FD4AAE016FA4,DISABLING,PASSENGER CAR,MOVING CONSTANT SPEED,39.1564,-77.20236333,"(39.1564, -77.20236333)"
MCP2728002L,16036959,Montgomery County Police,Property Damage Crash,07/21/2016 04:06:00 PM,US (State),COLUMBIA PIKE,County,LOCKWOOD DR,,N/A,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,05DE10C3-9B94-489C-AAD9-3C89A61E802A,Yes,NO APPARENT INJURY,N/A,LOOKED BUT DID NOT SEE,MD,DE751CC8-290B-46FE-8043-F6A70BAEA721,DISABLING,PASSENGER CAR,SLOWING OR STOPPING,39.03390833,-77.00227667,"(39.03390833, -77.00227667)"
MCP2961001Q,16066239,Montgomery County Police,Injury Crash,12/24/2016 08:47:00 PM,Maryland (State),UNIVERSITY BLVD W,County,DAYTON ST,,N/A,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,,AA96CC5C-274E-460C-9C43-41A03FE40C98,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,A6972A86-A37C-42D8-9561-E5D08BD2237D,FUNCTIONAL,PASSENGER CAR,MOVING CONSTANT SPEED,39.03877695,-77.0416984,"(39.03877695, -77.0416984)"
MCP29650020,170511070,Montgomery County Police,Property Damage Crash,06/01/2017 08:25:00 AM,Maryland (State),NEW HAMPSHIRE AVE,County,RIDGECROFT DR,,N/A,,HEAD ON,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,C28D43EB-50E6-4CD4-850C-EECE63A41057,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,5F569548-F858-41D1-BBEB-D0CD0EFD1459,FUNCTIONAL,PASSENGER CAR,MOVING CONSTANT SPEED,39.21413,-77.04882833,"(39.21413, -77.04882833)"
MCP2776001K,16056821,Montgomery County Police,Property Damage Crash,11/04/2016 01:40:00 AM,County,OSTERPORT DR,County,TIVOLI LAKE BLVD,,N/A,,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,9D817C74-2CC6-41DA-B032-9F88900C4BA5,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,73A09D8C-4869-4AAD-90A6-96527743C7EA,DISABLING,PASSENGER CAR,MOVING CONSTANT SPEED,39.07074667,-77.03525667,"(39.07074667, -77.03525667)"
MCP24220018,16030506,Montgomery County Police,Injury Crash,06/16/2016 05:42:00 PM,Maryland (State),WOODFIELD RD,County,POMPANO TERR,,N/A,,OTHER,CLEAR,N/A,DAYLIGHT,N/A,NONE DETECTED,,2F863539-BF3E-4F2F-A340-30C6F7AEE495,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,88BB2A0D-E4EB-4A8C-99D1-7076A5E8915E,SUPERFICIAL,PASSENGER CAR,MOVING CONSTANT SPEED,39.18327167,-77.15051667,"(39.18327167, -77.15051667)"
MCP1205001G,15049108,MONTGOMERY,Property Damage Crash,09/28/2015 07:55:00 AM,,,,,Parking lot of 8600 16th Street.,,,SAME DIRECTION RIGHT TURN,N/A,,DARK -- UNKNOWN LIGHTING,N/A,UNKNOWN,,775B9CF2-1148-4AFF-83B6-2C8210F1A0FD,Yes,NO APPARENT INJURY,N/A,UNKNOWN,,15A990D9-AB5E-47ED-925C-DEB8357E10DB,UNKNOWN,UNKNOWN,MOVING CONSTANT SPEED,38.99908368,-77.03996301,"(38.99908368, -77.03996301)"
MCP2420001V,16054742,Montgomery County Police,Property Damage Crash,10/24/2016 03:46:00 PM,Maryland (State),OLNEY LAYTONSVILLE RD,County,QUEEN ELIZABETH DR,,N/A,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,N/A,,141A031C-3567-4BF5-BD83-6EC4C5D26355,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,,6E2E9A1F-5C84-436D-AD6A-D09ED9E925EC,SUPERFICIAL,VAN,MOVING CONSTANT SPEED,39.15953833,-77.07708167,"(39.15953833, -77.07708167)"
MCP2016001P,170506430,Montgomery County Police,Property Damage Crash,05/07/2017 11:13:00 AM,Maryland (State),ROCKVILLE PIKE,County,BOU AVE,,N/A,,SAME DIR REAR END,N/A,DRY,DAYLIGHT,TRAFFIC SIGNAL,N/A,,D0E01615-AC0A-4587-AA62-806214C7B09F,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,US,4FF56404-F937-432F-9128-DA6FF5BDAF5F,FUNCTIONAL,PASSENGER CAR,SLOWING OR STOPPING,39.05662,-77.11966667,"(39.05662, -77.11966667)"
MCP26650021,17012709,Montgomery County Police,Injury Crash,03/10/2017 06:58:00 PM,Maryland (State),ROCKVILLE PIKE,County,TUCKERMAN LA,,N/A,,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,N/A,,A755FF62-8224-41C4-9D35-095F32FA081A,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,D3401EAE-F759-481F-B0FB-E2CC1A149064,FUNCTIONAL,PASSENGER CAR,STOPPED IN TRAFFIC LANE,39.031895,-77.10585,"(39.031895, -77.10585)"
MCP2964002B,170529044,Montgomery County Police,Property Damage Crash,09/06/2017 06:48:00 PM,County,MIDDLEBROOK RD,Maryland (State),GREAT SENECA HWY,,N/A,,SAME DIR REAR END,RAINING,WET,DUSK,TRAFFIC SIGNAL,NONE DETECTED,,505D76E3-C6C0-4011-952F-18EF07205736,No,NO APPARENT INJURY,"SLEET, HAIL, FREEZ. RAIN, WET",NOT DISTRACTED,MD,2C5CE169-5927-4FA2-AD8E-185782A9BF5B,FUNCTIONAL,PASSENGER CAR,SLOWING OR STOPPING,39.17499,-77.26142833,"(39.17499, -77.26142833)"
MCP15630024,16010317,MONTGOMERY,Property Damage Crash,03/01/2016 07:06:00 PM,County,JONES BRIDGE RD,Municipality,MONTGOMERY AVE,,NORTH CHEVY CHASE,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON,STOP SIGN,NONE DETECTED,,CDE44D5A-E3D9-47D5-832E-D38C8F5E1B5D,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,8DE172D2-6910-4307-BF10-6A4828D8F9E8,DISABLING,PASSENGER CAR,MOVING CONSTANT SPEED,38.99928,-77.07277833,"(38.99928, -77.07277833)"
EJ7855001M,17014094,Gaithersburg Police Depar,Property Damage Crash,03/19/2017 04:41:00 PM,Maryland (State),FREDERICK RD,Municipality,WATKINS MILL RD,,GAITHERSBURG,,HEAD ON,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,9EE060AA-452D-4D66-B075-A52D6883BD13,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,PA,A47A05FC-2E53-43B4-B5FE-0DC822E68B22,FUNCTIONAL,PASSENGER CAR,MOVING CONSTANT SPEED,39.38676667,-77.43369667,"(39.38676667, -77.43369667)"
MCP2919001M,16028311,Montgomery County Police,Injury Crash,06/06/2016 11:45:00 AM,Maryland (State),GEORGIA AVE,County,BALLARD ST,,N/A,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,N/A,NONE DETECTED,,5667494F-D1E6-48B7-ACD4-29DC89EA059C,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,VA,DEF8D50B-67AD-459B-8258-1D3CA97D7C24,DISABLING,PASSENGER CAR,MOVING CONSTANT SPEED,39.00073833,-77.03314333,"(39.00073833, -77.03314333)"
DD5614001S,17000088,Rockville Police Departme,Property Damage Crash,01/01/2017 10:58:00 AM,Maryland (State),VEIRS MILL RD,Maryland (State),FIRST ST,,N/A,,SAME DIRECTION SIDESWIPE,CLEAR,N/A,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,95EAAF43-B3F2-4C93-9673-06926A52B565,No,NO APPARENT INJURY,N/A,UNKNOWN,MD,9A9D3549-91DC-4DD9-AFD9-CD327BE32584,FUNCTIONAL,PASSENGER CAR,MOVING CONSTANT SPEED,39.07977218,-77.13802591,"(39.07977218, -77.13802591)"
MCP2398001J,170505025,Montgomery County Police,Injury Crash,04/29/2017 11:46:00 PM,,,,,FRONT YARD OF 21301 BOURDEAUX PL,,,SINGLE VEHICLE,CLOUDY,,DARK NO LIGHTS,N/A,UNKNOWN,,6312A84B-AEBB-4FE1-A53A-0BE5F76A5175,Yes,POSSIBLE INJURY,N/A,UNKNOWN,MD,EDD64200-ECA8-4B59-97B2-530B3908F1AD,DISABLING,PASSENGER CAR,MOVING CONSTANT SPEED,39.20616496,-77.17500016,"(39.20616496, -77.17500016)"
MCP2565002T,16019487,Montgomery County Police,Property Damage Crash,04/20/2016 06:43:00 PM,,,,,PARKING LOT OF 4860 BOILING BROOK LANE,,,STRAIGHT MOVEMENT ANGLE,CLEAR,,DAYLIGHT,NO CONTROLS,NONE DETECTED,,4D0E3FBC-73DD-4CDF-98FE-CEE01EC39A41,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,CF80D471-72FC-4755-BA58-C275F0DDC1D8,DISABLING,PASSENGER CAR,MOVING CONSTANT SPEED,39.04674,-77.09959167,"(39.04674, -77.09959167)"
MCP0936000S,15004186,Montgomery County Police,Injury Crash,01/26/2015 03:48:00 PM,Maryland (State),WISCONSIN AVE,Other Public Roadway,SOMERSET TERRACE,,N/A,,SAME DIR REAR END,SNOW,WET,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,D1BF098E-15EF-486A-8D2C-98FCFDE5B57D,Yes,SUSPECTED SERIOUS INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,MD,A2D63CD2-13A6-4463-89EA-0220989E2B6C,DISABLING,PASSENGER CAR,MOVING CONSTANT SPEED,38.96539167,-77.08863,"(38.96539167, -77.08863)"
MCP2420001W,16055564,Montgomery County Police,Property Damage Crash,10/28/2016 04:56:00 PM,Maryland (State),NEW HAMPSHIRE AVE,County,GOLD MINE RD,,N/A,,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,N/A,,CC2A7111-F139-4C4E-9FC8-E9857A95FF5F,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,,807A036D-6E24-4E5C-85DE-5C267A809DA7,N/A,"OTHER LIGHT TRUCKS (10,000LBS (4,536KG) OR LESS)",N/A,39.16073833,-77.013815,"(39.16073833, -77.013815)"
MCP1148000W,15034327,MONTGOMERY,Injury Crash,07/13/2015 08:18:00 AM,Maryland (State),WISCONSIN AVE,County,HIGHLAND AVE,,N/A,,STRAIGHT MOVEMENT ANGLE,RAINING,WET,DAYLIGHT,STOP SIGN,N/A,,4A5D5DF0-D7A4-4917-B635-C8299E01C6FA,No,SUSPECTED MINOR INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,MD,A7B806A5-9B74-4C99-AC94-5A68ECB16AD6,FUNCTIONAL,PASSENGER CAR,MOVING CONSTANT SPEED,38.99146,-77.09561667,"(38.99146, -77.09561667)"
MCP04870014,16053208,Montgomery County Police,Injury Crash,10/16/2016 02:54:00 PM,Maryland (State),MUNCASTER MILL RD,County,SHADY GROVE RD,,N/A,,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,F10E116B-1E9B-49AF-9F7B-1D14D175D7E5,Yes,NO APPARENT INJURY,N/A,LOOKED BUT DID NOT SEE,MD,DB7178A9-FBE4-470E-8FFD-FD2E32E704A5,SUPERFICIAL,PASSENGER CAR,MAKING LEFT TURN,39.150315,-77.14866,"(39.150315, -77.14866)"
MCP2871004K,170516688,Montgomery County Police,Property Damage Crash,06/30/2017 01:30:00 PM,County,WESTLAKE TERR,County,WESTLAKE DR,,N/A,,UNKNOWN,CLEAR,DRY,DAYLIGHT,NO CONTROLS,N/A,,479F116A-B863-4A93-ABBE-734ADC35FFAD,Yes,NO APPARENT INJURY,N/A,UNKNOWN,,1C3910B2-CF64-4120-8087-A0F27C52F74F,UNKNOWN,"CARGO VAN/LIGHT TRUCK 2 AXLES (OVER 10,000LBS (4,536 KG))",UNKNOWN,39.02747667,-77.14984333,"(39.02747667, -77.14984333)"
MCP2592000M,16043650,Montgomery County Police,Injury Crash,08/27/2016 01:56:00 PM,Maryland (State),MONTGOMERY VILLAGE AVE,Municipality,RUSSELL AVE,,GAITHERSBURG,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,326FFA31-98FB-4797-BF12-68CE0B7E1588,No,POSSIBLE INJURY,N/A,NOT DISTRACTED,MD,DAE948EA-963B-47A5-B256-7C0B1F950F12,DISABLING,PASSENGER CAR,MOVING CONSTANT SPEED,39.15442333,-77.20938333,"(39.15442333, -77.20938333)"
MCP2728001B,15034294,MONTGOMERY,Injury Crash,07/12/2015 11:09:00 PM,Maryland (State),PINEY BRANCH RD,County,DALE DR,,N/A,,SINGLE VEHICLE,N/A,DRY,DARK LIGHTS ON,UNKNOWN,N/A,,5F5B6731-3881-4BAA-9C1A-244EDB197E41,Yes,POSSIBLE INJURY,N/A,OTHER DISTRACTION,MD,0DA31235-955D-4291-8408-3EC222247FF8,FUNCTIONAL,PICKUP TRUCK,UNKNOWN,38.99354333,-77.00927,"(38.99354333, -77.00927)"
MCP1417005Y,16056020,Montgomery County Police,Property Damage Crash,10/31/2016 08:11:00 AM,County,MONTGOMERY VILLAGE AVE,County,WALKERS CHOICE RD,,N/A,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,1C6D0AE4-155F-41DF-908E-820F5B3DFC12,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,D86F3FE8-0EAB-4116-9E49-87AA67CB368B,FUNCTIONAL,PICKUP TRUCK,CHANGING LANES,39.16341667,-77.20336,"(39.16341667, -77.20336)"
MCP3023000J,170503321,Montgomery County Police,Property Damage Crash,04/21/2017 11:40:00 AM,County,CHARLES RD,County,RANDOLPH RD,,N/A,,OTHER,CLOUDY,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,12619456-13C6-4234-A130-C7EC6A145151,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,E26A191D-2903-4E9C-B83C-0F58ECCBAD6E,SUPERFICIAL,SCHOOL BUS,SLOWING OR STOPPING,39.05525,-77.08676333,"(39.05525, -77.08676333)"
MCP28310022,170522376,Montgomery County Police,Injury Crash,08/01/2017 06:46:00 PM,County,WATKINS MILL RD,County,GREENRIVER TERR,,N/A,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,955930D1-DB1F-4327-A429-0954AB94FA86,Yes,POSSIBLE INJURY,N/A,LOOKED BUT DID NOT SEE,MD,2A24EDF2-695D-42D3-BC46-F7EB4C7E2D26,DISABLING,PASSENGER CAR,SLOWING OR STOPPING,39.19001833,-77.22204667,"(39.19001833, -77.22204667)"
MCP27020016,16012196,MONTGOMERY,Injury Crash,03/11/2016 07:14:00 PM,Maryland (State),GEORGIA AVE,County,CORWIN DR,,N/A,,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,D75EE734-DE96-484A-B9F5-07B78C086544,Yes,NO APPARENT INJURY,N/A,ADJUSTING AUDIO AND OR CLIMATE CONTROLS,MD,D73DCDD7-EFC5-44BE-96B1-55FC9A19A3E9,DISABLING,PASSENGER CAR,SLOWING OR STOPPING,39.00783489,-77.03987449,"(39.00783489, -77.03987449)"
MCP2013000J,16023431,Montgomery County Police,Property Damage Crash,05/11/2016 06:06:00 PM,County,MUDDY BRANCH RD,Maryland (State),W DIAMOND AVE,,N/A,,SAME DIR REAR END,RAINING,WET,DAYLIGHT,NO CONTROLS,NONE DETECTED,,A2728B08-D4C9-4701-9E5A-4E59C178C992,No,NO APPARENT INJURY,"RAIN, SNOW, WORN, TRAVEL-POLISHED SURFACE",NOT DISTRACTED,MD,5D0A8B1C-A57C-4A0B-B78B-A365422BF65C,SUPERFICIAL,(SPORT) UTILITY VEHICLE,STOPPED IN TRAFFIC LANE,39.13717667,-77.20548167,"(39.13717667, -77.20548167)"
MCP29170011,16019365,Montgomery County Police,Property Damage Crash,04/20/2016 08:38:00 AM,Maryland (State),NEW HAMPSHIRE AVE,County,NOTLEY RD,,N/A,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,0FBADD35-5048-4B77-BD3D-C3CB2364A0F4,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,6809995C-DFFA-40CE-9864-D639531B5019,FUNCTIONAL,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,39.08063,-77.00148833,"(39.08063, -77.00148833)"
EJ7855001Q,170500915,Gaithersburg Police Depar,Injury Crash,04/07/2017 03:30:00 PM,Municipality,WALKER AVE,Maryland (State),FREDERICK RD,,N/A,,SAME DIRECTION LEFT TURN,N/A,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,D5FB283E-0044-418C-9CB7-40EB483E4BDD,No,POSSIBLE INJURY,N/A,NOT DISTRACTED,MD,68BAE7EC-7905-4474-8A90-220AC602B3DB,DISABLING,PASSENGER CAR,MAKING LEFT TURN,39.14443667,-77.20038667,"(39.14443667, -77.20038667)"
MCP1268000J,170517726,Montgomery County Police,Property Damage Crash,07/06/2017 10:35:00 PM,Municipality,WOOTTON PKWY,Maryland (State),ROCKVILLE PIKE,,N/A,,SINGLE VEHICLE,RAINING,WET,DARK LIGHTS ON,N/A,NONE DETECTED,,D6A10DC3-B894-4EBA-9728-0D5B2B750A5C,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",UNKNOWN,MD,0DF88566-2088-45F3-9981-574C34B5F196,DISABLING,PASSENGER CAR,ACCELERATING,39.077425,-77.13915333,"(39.077425, -77.13915333)"
DD5616000G,15061691,ROCKVILLE,Property Damage Crash,12/03/2015 08:44:00 AM,Municipality,RESEARCH BLVD,Maryland (State),W MONTGOMERY AVE,,N/A,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,BD9E82F3-F3BB-4639-9077-3623DD910ABD,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,8D6EF916-A4DD-445A-A235-DE39412CDEA6,DISABLING,PASSENGER CAR,ACCELERATING,39.09221589,-77.1787405,"(39.09221589, -77.1787405)"
MCP11680009,15039762,MONTGOMERY,Injury Crash,08/10/2015 01:08:00 PM,Maryland (State),GEORGIA AVE,County,QUEEN ELIZABETH DR,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLOUDY,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,A371D8FF-053A-4F3F-980E-ABB71E91D90F,Yes,NO APPARENT INJURY,N/A,LOOKED BUT DID NOT SEE,MD,3270209E-DE35-40A4-BD54-FCF901A44781,NO DAMAGE,PASSENGER CAR,ACCELERATING,39.15919833,-77.064625,"(39.15919833, -77.064625)"
MCP2046004J,15059038,MONTGOMERY,Injury Crash,11/19/2015 09:17:00 AM,County,SOUTHWOOD AVE,County,EASTWOOD AVE,,N/A,,SAME DIR REAR END,RAINING,WET,DAYLIGHT,NO CONTROLS,NONE DETECTED,,A5A8D481-979B-4DF6-AF19-60665A5A36FA,No,SUSPECTED MINOR INJURY,"N/A, WET",NOT DISTRACTED,MD,0D2E3C25-07B0-4381-8733-6E0BE01E631A,SUPERFICIAL,PASSENGER CAR,STOPPED IN TRAFFIC LANE,39.02600189,-77.01154232,"(39.02600189, -77.01154232)"
MCP2870001L,16031202,Montgomery County Police,Property Damage Crash,06/20/2016 05:43:00 PM,County,PARKMAN RD,County,RODNEY RD,,N/A,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,N/A,N/A,,CD4DA0EE-AF5B-4083-A39D-CA116967D4A1,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,5B246DC6-6350-404D-A848-C6C521E89208,FUNCTIONAL,PASSENGER CAR,ACCELERATING,39.02516007,-76.98340058,"(39.02516007, -76.98340058)"
MCP2713000N,16006937,Montgomery County Police,Property Damage Crash,02/10/2016 03:24:00 PM,Maryland (State),GEORGIA AVE,County,REEDIE DR,,N/A,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,N/A,,3A7F9403-84E9-4BD1-8267-5E07E247E80B,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,1085968D-D2E3-4252-A1FD-43E4E0F7A57C,SUPERFICIAL,TRANSIT BUS,SLOWING OR STOPPING,39.03884167,-77.05096333,"(39.03884167, -77.05096333)"
MCP28940034,16060552,Montgomery County Police,Injury Crash,11/25/2016 12:17:00 PM,Maryland (State),OLD GEORGETOWN RD,Ramp,RAMP 1 FR MD 187 NB TO RAMP 8 (TO IS495),,N/A,,STRAIGHT MOVEMENT ANGLE,CLOUDY,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,E3EBC3F8-3BE6-40CE-A78A-A1ADB95B754C,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,2399FE46-AF38-4D9C-BB37-4D5C21385BF1,FUNCTIONAL,AMBULANCE/EMERGENCY,SLOWING OR STOPPING,39.01497333,-77.119195,"(39.01497333, -77.119195)"
MCP28790017,17008879,Montgomery County Police,Property Damage Crash,02/18/2017 04:38:00 PM,Maryland (State),FREDERICK RD,Municipality,REDLAND BLVD,,ROCKVILLE,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,C2E40854-B5C3-4229-AADC-3B8ECC44E3C5,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,1D2CD034-395F-4FCF-AD59-D37784F63155,SUPERFICIAL,PASSENGER CAR,SLOWING OR STOPPING,39.11530667,-77.166345,"(39.11530667, -77.166345)"
MCP2286000R,15050750,MONTGOMERY,Injury Crash,10/07/2015 06:55:00 AM,County,DARNESTOWN RD,County,TRAVILLE  GATEWAY DR,,N/A,,HEAD ON LEFT TURN,CLEAR,DRY,DUSK,TRAFFIC SIGNAL,NONE DETECTED,,C2581E8E-6AF6-46A1-BEDA-DFCE96EEF911,No,POSSIBLE INJURY,N/A,NOT DISTRACTED,MD,D6EC6B24-4B98-4231-8503-78D46799F09C,DISABLING,PASSENGER CAR,MAKING LEFT TURN,39.09611333,-77.20155833,"(39.09611333, -77.20155833)"
MCP2162002C,170518023,Montgomery County Police,Injury Crash,07/08/2017 05:36:00 PM,County,HINES RD,Unknown,HINES CT,,N/A,,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,N/A,N/A,,4AEC9DF5-F7A7-4346-B930-AD2C35A9E200,Yes,POSSIBLE INJURY,N/A,OTHER ELECTRONIC DEVICE (NAVIGATIONAL PALM PILOT),MD,95A84124-BD8B-4962-93D0-A3D6F916A83F,DESTROYED,PASSENGER CAR,MOVING CONSTANT SPEED,39.14107333,-77.08905333,"(39.14107333, -77.08905333)"
MCP2867004M,170527282,Montgomery County Police,Injury Crash,08/28/2017 08:45:00 AM,US (State),COLUMBIA PIKE,County,OAK LEAF DR,,N/A,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,N/A,NONE DETECTED,,38FA60E7-A5E2-437E-9CD6-AA7A540E4C03,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,1B0C0FD3-A9BD-44D2-B516-33EC057DDD44,DISABLING,PASSENGER CAR,SLOWING OR STOPPING,39.04196667,-76.99420667,"(39.04196667, -76.99420667)"
MCP3055000C,170527482,Montgomery County Police,Property Damage Crash,08/29/2017 08:07:00 AM,Maryland (State),NEW HAMPSHIRE AVE,County,GOOD HOPE RD,,N/A,,SAME DIRECTION RIGHT TURN,RAINING,WET,DAYLIGHT,TRAFFIC SIGNAL,N/A,,DF482C2B-F3F1-42D5-8AC7-35DD62DC6E44,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",LOOKED BUT DID NOT SEE,MD,3B975584-1F32-48FD-94D8-1B4CC300E3C0,FUNCTIONAL,PASSENGER CAR,CHANGING LANES,39.09441667,-77.00143,"(39.09441667, -77.00143)"
MCP2963000V,16053986,Montgomery County Police,Injury Crash,10/20/2016 12:19:00 PM,County,FLOWER AVE,County,ARLISS ST,,N/A,,OPPOSITE DIRECTION SIDESWIPE,CLEAR,N/A,DAYLIGHT,NO CONTROLS,NONE DETECTED,,873837EF-E33A-4B45-A166-FA706F226089,Yes,NO APPARENT INJURY,"N/A, V EXHAUST SYSTEM|R OTHER ROAD",OTHER DISTRACTION,VA,2EF94F58-CE2A-45EB-8901-C0852B040BC7,DISABLING,PASSENGER CAR,MOVING CONSTANT SPEED,39.00046333,-77.00422833,"(39.00046333, -77.00422833)"
MCP2059002M,16020895,Montgomery County Police,Property Damage Crash,04/28/2016 10:11:00 AM,Interstate (State),CAPITAL BELTWAY,Ramp,RAMP 4 FR MD 355 NB TO IS 495 EB,,N/A,,SAME DIRECTION SIDESWIPE,RAINING,WET,DAYLIGHT,NO CONTROLS,NONE DETECTED,,08594A8B-A51F-425D-B2B0-7FB376A4753D,No,NO APPARENT INJURY,"RAIN, SNOW, WET",UNKNOWN,MD,081C40C1-E349-4DCE-BFA7-7ABC678D36C1,SUPERFICIAL,PASSENGER CAR,MOVING CONSTANT SPEED,39.0159619,-77.0981428,"(39.0159619, -77.0981428)"
MCP2710000N,15048068,MONTGOMERY,Property Damage Crash,09/22/2015 05:00:00 PM,,,,,PARKING LOT OF PRAIRE ROSE CT,,,HEAD ON LEFT TURN,N/A,,DAYLIGHT,N/A,NONE DETECTED,,09FEA930-D506-4297-8F67-192822539F3C,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,891F0F61-10BE-494C-9C28-4086591EB0F4,SUPERFICIAL,PASSENGER CAR,BACKING,39.118995,-77.20996333,"(39.118995, -77.20996333)"
